MulticlassAccuracy,MulticlassF1Score,epoch,step,test_MulticlassAccuracy,test_MulticlassF1Score,test_loss,train_loss,val_MulticlassAccuracy,val_MulticlassF1Score,val_loss
0.0,0.0,0,9,,,,4.601813316345215,,,
0.0078125,0.0062500000931322575,0,19,,,,4.583270072937012,,,
0.0,0.0,0,29,,,,4.573596000671387,,,
0.0078125,0.0001755617995513603,0,39,,,,4.493071556091309,,,
0.0390625,0.020395610481500626,0,49,,,,4.501190185546875,,,
0.0234375,0.011840062215924263,0,59,,,,4.504420757293701,,,
0.0234375,0.006640625186264515,0,69,,,,4.339632987976074,,,
0.0390625,0.011332981288433075,0,79,,,,4.260793685913086,,,
0.1015625,0.06991567462682724,0,89,,,,4.2205657958984375,,,
0.0390625,0.03139881044626236,0,99,,,,4.205938816070557,,,
0.0859375,0.07114867120981216,0,109,,,,4.227508544921875,,,
0.078125,0.0612909235060215,0,119,,,,4.121105194091797,,,
0.078125,0.0406104177236557,0,129,,,,4.032368183135986,,,
0.09375,0.06326096504926682,0,139,,,,4.021198272705078,,,
0.0703125,0.04265422374010086,0,149,,,,4.188112258911133,,,
0.109375,0.07509348541498184,0,159,,,,3.887722969055176,,,
0.0625,0.03178323432803154,0,169,,,,4.118414878845215,,,
0.0625,0.04698660969734192,0,179,,,,4.029167652130127,,,
0.0546875,0.03913404792547226,0,189,,,,3.9001362323760986,,,
0.0859375,0.061275701969861984,0,199,,,,3.8225185871124268,,,
0.125,0.08857850730419159,0,209,,,,3.8655617237091064,,,
0.078125,0.07690972089767456,0,219,,,,3.85711932182312,,,
0.0703125,0.0522058829665184,0,229,,,,3.8598036766052246,,,
0.109375,0.09287236630916595,0,239,,,,3.754549980163574,,,
0.09375,0.09410342574119568,0,249,,,,3.837661027908325,,,
0.0703125,0.05859375,0,259,,,,3.7757649421691895,,,
0.1015625,0.07213541865348816,0,269,,,,3.8133795261383057,,,
0.0625,0.039681412279605865,0,279,,,,3.828425645828247,,,
0.171875,0.13671875,0,289,,,,3.7162528038024902,,,
0.1328125,0.1184895858168602,0,299,,,,3.5897417068481445,,,
0.1328125,0.09760045260190964,0,309,,,,3.6004505157470703,,,
0.1484375,0.12552084028720856,0,319,,,,3.4793787002563477,,,
0.1640625,0.14170613884925842,0,329,,,,3.7193851470947266,,,
0.1328125,0.117280513048172,0,339,,,,3.6286630630493164,,,
0.1484375,0.111421138048172,0,349,,,,3.5456342697143555,,,
,,0,351,,,,,0.15479999780654907,0.13450442254543304,3.527207374572754
0.1640625,0.15249255299568176,1,359,,,,3.5017142295837402,,,
0.2109375,0.17573165893554688,1,369,,,,3.3657407760620117,,,
0.1484375,0.1259182244539261,1,379,,,,3.6220765113830566,,,
0.171875,0.14691221714019775,1,389,,,,3.5765740871429443,,,
0.1484375,0.11380209028720856,1,399,,,,3.4802846908569336,,,
0.15625,0.13630951941013336,1,409,,,,3.350083351135254,,,
0.1640625,0.12942709028720856,1,419,,,,3.308950901031494,,,
0.1875,0.1546638309955597,1,429,,,,3.305741786956787,,,
0.1640625,0.17232143878936768,1,439,,,,3.4553871154785156,,,
0.2109375,0.18373636901378632,1,449,,,,3.521703004837036,,,
0.1875,0.15306299924850464,1,459,,,,3.499269485473633,,,
0.1953125,0.184706449508667,1,469,,,,3.1429057121276855,,,
0.1875,0.17217262089252472,1,479,,,,3.2654943466186523,,,
0.1875,0.16824157536029816,1,489,,,,3.123992919921875,,,
0.2578125,0.25224679708480835,1,499,,,,3.201686382293701,,,
0.203125,0.17760416865348816,1,509,,,,3.276886463165283,,,
0.2109375,0.2165178656578064,1,519,,,,3.349672555923462,,,
0.1953125,0.17287947237491608,1,529,,,,3.433281421661377,,,
0.1953125,0.17273065447807312,1,539,,,,3.0660085678100586,,,
0.265625,0.24909023940563202,1,549,,,,3.187560796737671,,,
0.2578125,0.2221626490354538,1,559,,,,3.2847812175750732,,,
0.2421875,0.21588541567325592,1,569,,,,3.071782112121582,,,
0.2890625,0.27305924892425537,1,579,,,,2.9126038551330566,,,
0.234375,0.20773810148239136,1,589,,,,3.245265007019043,,,
0.2265625,0.20039063692092896,1,599,,,,3.044210910797119,,,
0.3125,0.27305975556373596,1,609,,,,2.886476516723633,,,
0.2109375,0.2085193544626236,1,619,,,,3.2561957836151123,,,
0.1640625,0.1473214328289032,1,629,,,,3.2346432209014893,,,
0.2109375,0.19185268878936768,1,639,,,,3.2053046226501465,,,
0.2578125,0.24642857909202576,1,649,,,,3.0444226264953613,,,
0.2734375,0.25322645902633667,1,659,,,,3.195388078689575,,,
0.25,0.25200894474983215,1,669,,,,3.005760669708252,,,
0.2421875,0.2599702477455139,1,679,,,,3.106417655944824,,,
0.2578125,0.23466022312641144,1,689,,,,3.032320499420166,,,
0.21875,0.20019221305847168,1,699,,,,3.1620922088623047,,,
,,1,703,,,,,0.2590000033378601,0.240753635764122,2.978026866912842
0.2421875,0.2323271930217743,2,709,,,,3.0676748752593994,,,
0.296875,0.29348957538604736,2,719,,,,2.9449334144592285,,,
0.2890625,0.28482142090797424,2,729,,,,2.865330219268799,,,
0.2734375,0.2735491096973419,2,739,,,,2.722158193588257,,,
0.2890625,0.28192585706710815,2,749,,,,2.7191059589385986,,,
0.2109375,0.18573909997940063,2,759,,,,2.9744091033935547,,,
0.2421875,0.2265625,2,769,,,,2.881305694580078,,,
0.3203125,0.3016369044780731,2,779,,,,2.728919744491577,,,
