MulticlassAccuracy,MulticlassF1Score,epoch,step,train_loss
0.0,0.0,0,9,4.601813316345215
0.0078125,0.0062500000931322575,0,19,4.583270072937012
0.0,0.0,0,29,4.573596000671387
0.0078125,0.0001755617995513603,0,39,4.493071556091309
